Wavelength,Flux,BestFit,SkyFlux
4249.129,1.369,1.304,4.606
4250.109,1.551,1.311,3.947
4251.087,1.465,1.318,3.905
4252.065,1.110,1.322,3.657
4253.045,1.704,1.322,3.710
4254.024,1.319,1.317,3.621
4255.005,1.770,1.311,3.596
4255.984,1.866,1.307,3.698
4256.965,1.498,1.305,3.530
4257.944,1.526,1.307,3.843
4258.926,1.307,1.313,4.008
4259.906,1.363,1.324,3.719
4260.886,1.143,1.335,3.443
4261.869,1.557,1.341,3.587
4262.849,1.631,1.341,3.444
4263.832,0.607,1.334,3.497
4264.813,1.263,1.322,3.736
4265.796,1.706,1.307,3.641
4266.778,1.469,1.293,3.807
4267.759,0.796,1.281,3.737
4268.743,0.710,1.274,3.892
4269.725,1.569,1.274,4.013
4270.710,1.696,1.281,3.694
4271.692,1.645,1.291,3.617
4272.677,1.284,1.303,3.707
4273.660,1.492,1.314,3.854
4274.644,1.882,1.322,3.671
4275.629,1.586,1.325,3.362
4276.613,1.460,1.323,3.687
4277.599,1.273,1.318,3.789
4278.583,1.378,1.312,3.968
4279.570,1.329,1.307,4.089
4280.554,1.173,1.302,3.756
4281.539,1.351,1.297,3.698
4282.526,1.579,1.289,3.491
4283.511,1.360,1.279,3.511
4284.499,1.519,1.268,3.730
4285.485,1.037,1.260,3.502
4286.473,0.991,1.257,3.440
4287.459,2.180,1.257,3.348
4288.446,1.034,1.261,3.306
4289.434,1.620,1.267,3.133
4290.421,1.664,1.272,3.099
4291.411,1.442,1.272,3.193
4292.398,1.232,1.265,3.129
4293.388,0.736,1.254,3.494
4294.375,0.854,1.241,3.669
4295.363,1.506,1.227,3.552
4296.354,1.233,1.214,3.525
4297.342,0.831,1.206,3.586
4298.333,0.955,1.205,3.323
4299.322,1.395,1.210,3.321
4300.313,1.882,1.217,3.121
4301.303,1.284,1.224,3.042
4302.292,1.316,1.227,3.053
4303.284,1.866,1.230,2.769
4304.274,1.492,1.234,2.795
4305.267,0.351,1.236,2.982
4306.257,1.662,1.235,3.181
4307.250,1.150,1.230,3.171
4308.241,0.969,1.224,3.172
4309.232,1.170,1.216,3.366
4310.226,1.337,1.209,3.466
4311.217,1.623,1.203,3.560
4312.212,1.729,1.201,3.589
4313.204,1.130,1.203,3.710
4314.198,1.091,1.206,3.901
4315.191,1.067,1.207,4.361
4316.183,1.009,1.206,4.469
4317.179,1.336,1.200,4.351
4318.172,1.179,1.190,4.445
4319.168,2.097,1.178,4.070
4320.161,0.410,1.165,4.349
4321.157,-0.379,1.154,4.395
4322.152,1.029,1.144,4.099
4323.146,1.688,1.134,3.841
4324.143,1.242,1.123,3.416
4325.137,1.153,1.113,3.411
4326.135,1.312,1.104,3.654
4327.130,1.333,1.091,3.591
4328.128,1.374,1.074,3.450
4329.124,1.690,1.052,3.379
4330.119,1.533,1.025,3.185
4331.118,0.429,0.992,3.610
4332.114,1.091,0.954,3.679
4333.113,1.661,0.909,3.668
4334.110,1.246,0.863,3.362
4335.110,0.931,0.825,3.527
4336.107,-0.106,0.799,3.494
4337.107,0.338,0.790,3.321
4338.105,1.326,0.799,3.491
4339.103,1.281,0.825,3.376
4340.103,0.627,0.864,3.666
4341.102,0.871,0.909,3.600
4342.103,1.090,0.953,3.435
4343.101,0.260,0.990,3.634
4344.103,1.669,1.019,3.547
4345.102,2.087,1.041,3.705
4346.102,0.707,1.057,3.742
4347.104,0.683,1.071,4.004
4348.104,1.102,1.086,4.077
4349.107,1.282,1.103,4.146
4350.107,0.942,1.121,3.981
4351.110,0.608,1.140,3.796
4352.111,0.475,1.160,3.733
4353.113,0.684,1.179,3.548
